<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: primitive_matrix_486.csv>index,domain,family_index,family,atom_index,primitive_id,primitive
0,ELECTRONICS,1,Physical state,1,ELECTRONICS.1.1,charge
1,ELECTRONICS,1,Physical state,2,ELECTRONICS.1.2,electric field
2,ELECTRONICS,1,Physical state,3,ELECTRONICS.1.3,potential difference
3,ELECTRONICS,1,Physical state,4,ELECTRONICS.1.4,current
4,ELECTRONICS,1,Physical state,5,ELECTRONICS.1.5,energy
5,ELECTRONICS,1,Physical state,6,ELECTRONICS.1.6,power
6,ELECTRONICS,1,Physical state,7,ELECTRONICS.1.7,resistance
7,ELECTRONICS,1,Physical state,8,ELECTRONICS.1.8,capacitance
8,ELECTRONICS,1,Physical state,9,ELECTRONICS.1.9,inductance
9,ELECTRONICS,2,Material,1,ELECTRONICS.2.1,conductor
10,ELECTRONICS,2,Material,2,ELECTRONICS.2.2,insulator
11,ELECTRONICS,2,Material,3,ELECTRONICS.2.3,semiconductor
12,ELECTRONICS,2,Material,4,ELECTRONICS.2.4,junction
13,ELECTRONICS,2,Material,5,ELECTRONICS.2.5,dielectric
14,ELECTRONICS,2,Material,6,ELECTRONICS.2.6,magnetic medium
15,ELECTRONICS,2,Material,7,ELECTRONICS.2.7,substrate
16,ELECTRONICS,2,Material,8,ELECTRONICS.2.8,interconnect
17,ELECTRONICS,2,Material,9,ELECTRONICS.2.9,ground/reference
18,ELECTRONICS,3,Switching device,1,ELECTRONICS.3.1,diode
19,ELECTRONICS,3,Switching device,2,ELECTRONICS.3.2,BJT
20,ELECTRONICS,3,Switching device,3,ELECTRONICS.3.3,MOSFET
21,ELECTRONICS,3,Switching device,4,ELECTRONICS.3.4,open circuit
22,ELECTRONICS,3,Switching device,5,ELECTRONICS.3.5,closed circuit
23,ELECTRONICS,3,Switching device,6,ELECTRONICS.3.6,threshold
24,ELECTRONICS,3,Switching device,7,ELECTRONICS.3.7,gain
25,ELECTRONICS,3,Switching device,8,ELECTRONICS.3.8,saturation
26,ELECTRONICS,3,Switching device,9,ELECTRONICS.3.9,leakage
27,ELECTRONICS,4,Logic,1,ELECTRONICS.4.1,LOW
28,ELECTRONICS,4,Logic,2,ELECTRONICS.4.2,HIGH
29,ELECTRONICS,4,Logic,3,ELECTRONICS.4.3,NOT
30,ELECTRONICS,4,Logic,4,ELECTRONICS.4.4,AND
31,ELECTRONICS,4,Logic,5,ELECTRONICS.4.5,OR
32,ELECTRONICS,4,Logic,6,ELECTRONICS.4.6,XOR
33,ELECTRONICS,4,Logic,7,ELECTRONICS.4.7,NAND
34,ELECTRONICS,4,Logic,8,ELECTRONICS.4.8,NOR
35,ELECTRONICS,4,Logic,9,ELECTRONICS.4.9,tri-state
36,ELECTRONICS,5,State & time,1,ELECTRONICS.5.1,combinational
37,ELECTRONICS,5,State & time,2,ELECTRONICS.5.2,latch
38,ELECTRONICS,5,State & time,3,ELECTRONICS.5.3,flip-flop
39,ELECTRONICS,5,State & time,4,ELECTRONICS.5.4,register
40,ELECTRONICS,5,State & time,5,ELECTRONICS.5.5,counter
41,ELECTRONICS,5,State & time,6,ELECTRONICS.5.6,clock
42,ELECTRONICS,5,State & time,7,ELECTRONICS.5.7,reset
43,ELECTRONICS,5,State & time,8,ELECTRONICS.5.8,enable
44,ELECTRONICS,5,State & time,9,ELECTRONICS.5.9,metastability
45,ELECTRONICS,6,Compute,1,ELECTRONICS.6.1,bit
46,ELECTRONICS,6,Compute,2,ELECTRONICS.6.2,nibble
47,ELECTRONICS,6,Compute,3,ELECTRONICS.6.3,byte
48,ELECTRONICS,6,Compute,4,ELECTRONICS.6.4,word
49,ELECTRONICS,6,Compute,5,ELECTRONICS.6.5,opcode
50,ELECTRONICS,6,Compute,6,ELECTRONICS.6.6,ALU
51,ELECTRONICS,6,Compute,7,ELECTRONICS.6.7,register file
52,ELECTRONICS,6,Compute,8,ELECTRONICS.6.8,control unit
53,ELECTRONICS,6,Compute,9,ELECTRONICS.6.9,pipeline
54,ELECTRONICS,7,Memory,1,ELECTRONICS.7.1,cell
55,ELECTRONICS,7,Memory,2,ELECTRONICS.7.2,address
56,ELECTRONICS,7,Memory,3,ELECTRONICS.7.3,read
57,ELECTRONICS,7,Memory,4,ELECTRONICS.7.4,write
58,ELECTRONICS,7,Memory,5,ELECTRONICS.7.5,volatile
59,ELECTRONICS,7,Memory,6,ELECTRONICS.7.6,nonvolatile
60,ELECTRONICS,7,Memory,7,ELECTRONICS.7.7,cache
61,ELECTRONICS,7,Memory,8,ELECTRONICS.7.8,DRAM
62,ELECTRONICS,7,Memory,9,ELECTRONICS.7.9,flash
63,ELECTRONICS,8,Interconnect,1,ELECTRONICS.8.1,wire
64,ELECTRONICS,8,Interconnect,2,ELECTRONICS.8.2,bus
65,ELECTRONICS,8,Interconnect,3,ELECTRONICS.8.3,lane
66,ELECTRONICS,8,Interconnect,4,ELECTRONICS.8.4,serial
67,ELECTRONICS,8,Interconnect,5,ELECTRONICS.8.5,parallel
68,ELECTRONICS,8,Interconnect,6,ELECTRONICS.8.6,differential pair
69,ELECTRONICS,8,Interconnect,7,ELECTRONICS.8.7,impedance
