<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: timeline_1969_2026_halfyear_116.csv>index,unit,period,start,end,selected_delta,keep,retire_or_deprecate,repair_or_integrate,source_ids
0,U000,1969-H1,1969-01-01,1969-06-30,NETWORKING: RFC 1: Host Software,"message boundaries, host links, explicit connection state",ad-hoc assumptions tied to a tiny host set,keep the explicit endpoint/channel model; generalize it,RFC1
1,U001,1969-H2,1969-07-01,1969-12-31,NETWORKING: ARPANET first host-to-host message,packet-switched remote host communication,single-network worldview,preserve packets; evolve toward internetworking,ARPANET
2,U002,1970-H1,1970-01-01,1970-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
3,U003,1970-H2,1970-07-01,1970-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
4,U004,1971-H1,1971-01-01,1971-06-30,STORAGE_ISOLATION: 1971: Floppy disk loads mainframe data,removable media as a bounded object,paper/card dependence,retain removable-media boundary; improve integrity and access control,FLOPPY
5,U005,1971-H2,1971-07-01,1971-12-31,ELECTRONICS: 1971: Intel 4004 and Intel 1103 DRAM,CPU integration + semiconductor memory,magnetic core as primary general memory,"integrate logic + memory into smaller, faster layers",CHM1971
6,U006,1972-H1,1972-01-01,1972-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
7,U007,1972-H2,1972-07-01,1972-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
8,U008,1973-H1,1973-01-01,1973-06-30,NETWORKING: 1973: Ethernet and internetworking,shared local medium + frames,vendor-specific local-network silos,retain framing; standardize link boundaries,ETHERNET
9,U009,1973-H2,1973-07-01,1973-12-31,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
10,U010,1974-H1,1974-01-01,1974-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
11,U011,1974-H2,1974-07-01,1974-12-31,NETWORKING: RFC 675: Internet Transmission Control Program,process-to-process internetwork transport,monolithic transport/network coupling,split concerns into IP + transport,RFC675
12,U012,1975-H1,1975-01-01,1975-06-30,No selected lineage-breaking milestone in this synthesis; inherit the previous retained primitive set.,carry forward prior retained primitives,nothing automatically retired in this unit,continue integration/testing; do not invent a change merely because six months elapsed,
