<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: TattooSkillAtlas_405.csv>index,skill,family_index,family,category_index,category_id,category,family_purpose,surface_mode,source_bundle
0,CREATE,1,Intent & Brief,1,CREATE.1.1,Primary subject,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
1,CREATE,1,Intent & Brief,2,CREATE.1.2,Narrative role,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
2,CREATE,1,Intent & Brief,3,CREATE.1.3,Emotional tone,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
3,CREATE,1,Intent & Brief,4,CREATE.1.4,Symbolic meaning,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
4,CREATE,1,Intent & Brief,5,CREATE.1.5,Personal context,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
5,CREATE,1,Intent & Brief,6,CREATE.1.6,Visibility intent,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
6,CREATE,1,Intent & Brief,7,CREATE.1.7,Permanence horizon,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
7,CREATE,1,Intent & Brief,8,CREATE.1.8,Hard constraints,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
8,CREATE,1,Intent & Brief,9,CREATE.1.9,Success criterion,Define what the tattoo is trying to be before drawing.,implicit,CREATE:2video+1manual
9,CREATE,2,Reference Intelligence,1,CREATE.2.1,Client-owned reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
10,CREATE,2,Reference Intelligence,2,CREATE.2.2,Licensed/open reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
11,CREATE,2,Reference Intelligence,3,CREATE.2.3,Anatomy reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
12,CREATE,2,Reference Intelligence,4,CREATE.2.4,Style reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
13,CREATE,2,Reference Intelligence,5,CREATE.2.5,Material reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
14,CREATE,2,Reference Intelligence,6,CREATE.2.6,Motif reference,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
15,CREATE,2,Reference Intelligence,7,CREATE.2.7,Cultural-context check,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
16,CREATE,2,Reference Intelligence,8,CREATE.2.8,Originality distance,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
17,CREATE,2,Reference Intelligence,9,CREATE.2.9,Rights/provenance record,Gather useful references without letting references become the design.,implicit,CREATE:2video+1manual
18,CREATE,3,Composition Skeleton,1,CREATE.3.1,Outer silhouette,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
19,CREATE,3,Composition Skeleton,2,CREATE.3.2,Primary focal point,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
20,CREATE,3,Composition Skeleton,3,CREATE.3.3,Secondary focal point,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
21,CREATE,3,Composition Skeleton,4,CREATE.3.4,Foreground layer,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
22,CREATE,3,Composition Skeleton,5,CREATE.3.5,Middleground layer,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
23,CREATE,3,Composition Skeleton,6,CREATE.3.6,Background layer,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
24,CREATE,3,Composition Skeleton,7,CREATE.3.7,Negative-space map,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
25,CREATE,3,Composition Skeleton,8,CREATE.3.8,Directional rhythm,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
26,CREATE,3,Composition Skeleton,9,CREATE.3.9,Edge/crop strategy,Build the first-read structure before detail.,implicit,CREATE:2video+1manual
27,CREATE,4,Style Grammar,1,CREATE.4.1,Line grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
28,CREATE,4,Style Grammar,2,CREATE.4.2,Black-mass grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
29,CREATE,4,Style Grammar,3,CREATE.4.3,Greywash grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
30,CREATE,4,Style Grammar,4,CREATE.4.4,Color grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
31,CREATE,4,Style Grammar,5,CREATE.4.5,Texture grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
32,CREATE,4,Style Grammar,6,CREATE.4.6,Ornament grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
33,CREATE,4,Style Grammar,7,CREATE.4.7,Geometry grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
34,CREATE,4,Style Grammar,8,CREATE.4.8,Illustrative grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
35,CREATE,4,Style Grammar,9,CREATE.4.9,Realism grammar,Choose a coherent visual language rather than disconnected effects.,implicit,CREATE:2video+1manual
36,CREATE,5,Body-Aware Concept,1,CREATE.5.1,Placement envelope,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
37,CREATE,5,Body-Aware Concept,2,CREATE.5.2,Aspect-ratio match,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
38,CREATE,5,Body-Aware Concept,3,CREATE.5.3,Wrap allowance,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
39,CREATE,5,Body-Aware Concept,4,CREATE.5.4,Front-view readability,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
40,CREATE,5,Body-Aware Concept,5,CREATE.5.5,Joint clearance,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
41,CREATE,5,Body-Aware Concept,6,CREATE.5.6,Muscle-flow direction,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
42,CREATE,5,Body-Aware Concept,7,CREATE.5.7,Resting-pose orientation,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
43,CREATE,5,Body-Aware Concept,8,CREATE.5.8,Expansion allowance,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
44,CREATE,5,Body-Aware Concept,9,CREATE.5.9,Neighbor-tattoo relationship,Shape the concept for the eventual body area from the beginning.,implicit,CREATE:2video+1manual
45,CREATE,6,Construction Method,1,CREATE.6.1,Thumbnail pass,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
46,CREATE,6,Construction Method,2,CREATE.6.2,Guide-grid pass,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
47,CREATE,6,Construction Method,3,CREATE.6.3,Symmetry scaffold,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
48,CREATE,6,Construction Method,4,CREATE.6.4,Perspective scaffold,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
49,CREATE,6,Construction Method,5,CREATE.6.5,Basic-shape block-in,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
50,CREATE,6,Construction Method,6,CREATE.6.6,Layered sketch,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
51,CREATE,6,Construction Method,7,CREATE.6.7,Refinement sketch,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
52,CREATE,6,Construction Method,8,CREATE.6.8,Clean-line pass,Move from rough thought to controlled drawing in passes.,implicit,CREATE:2video+1manual
